,Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
330,,"Randolph County, WV",54083.0,2008.0,2008.0,338.0,29236.0,1156.1
331,,"Randolph County, WV",54083.0,2009.0,2009.0,352.0,29381.0,1198.1
332,,"Randolph County, WV",54083.0,2010.0,2010.0,310.0,29405.0,1054.2
333,,"Randolph County, WV",54083.0,2011.0,2011.0,362.0,29465.0,1228.6
334,,"Randolph County, WV",54083.0,2012.0,2012.0,355.0,29384.0,1208.1
336,,"Ritchie County, WV",54085.0,2006.0,2006.0,134.0,10588.0,1265.6
337,,"Ritchie County, WV",54085.0,2007.0,2007.0,119.0,10558.0,1127.1
338,,"Ritchie County, WV",54085.0,2008.0,2008.0,128.0,10516.0,1217.2
339,,"Ritchie County, WV",54085.0,2009.0,2009.0,139.0,10478.0,1326.6
340,,"Ritchie County, WV",54085.0,2010.0,2010.0,119.0,10449.0,1138.9
341,,"Ritchie County, WV",54085.0,2011.0,2011.0,122.0,10295.0,1185.0
342,,"Ritchie County, WV",54085.0,2012.0,2012.0,126.0,10236.0,1230.9
344,,"Roane County, WV",54087.0,2006.0,2006.0,178.0,15442.0,1152.7
345,,"Roane County, WV",54087.0,2007.0,2007.0,201.0,15215.0,1321.1
346,,"Roane County, WV",54087.0,2008.0,2008.0,189.0,15048.0,1256.0
347,,"Roane County, WV",54087.0,2009.0,2009.0,177.0,14966.0,1182.7
348,,"Roane County, WV",54087.0,2010.0,2010.0,169.0,14926.0,1132.3
349,,"Roane County, WV",54087.0,2011.0,2011.0,176.0,14858.0,1184.5
350,,"Roane County, WV",54087.0,2012.0,2012.0,191.0,14684.0,1300.7
352,,"Summers County, WV",54089.0,2006.0,2006.0,146.0,13879.0,1051.9
353,,"Summers County, WV",54089.0,2007.0,2007.0,152.0,13842.0,1098.1
354,,"Summers County, WV",54089.0,2008.0,2008.0,198.0,13712.0,1444.0
355,,"Summers County, WV",54089.0,2009.0,2009.0,159.0,13882.0,1145.4
356,,"Summers County, WV",54089.0,2010.0,2010.0,206.0,13927.0,1479.1
357,,"Summers County, WV",54089.0,2011.0,2011.0,207.0,13867.0,1492.8
358,,"Summers County, WV",54089.0,2012.0,2012.0,171.0,13737.0,1244.8
360,,"Taylor County, WV",54091.0,2006.0,2006.0,164.0,16498.0,994.1
361,,"Taylor County, WV",54091.0,2007.0,2007.0,171.0,16640.0,1027.6
362,,"Taylor County, WV",54091.0,2008.0,2008.0,195.0,16792.0,1161.3
363,,"Taylor County, WV",54091.0,2009.0,2009.0,180.0,16838.0,1069.0
364,,"Taylor County, WV",54091.0,2010.0,2010.0,199.0,16895.0,1177.9
365,,"Taylor County, WV",54091.0,2011.0,2011.0,203.0,16916.0,1200.0
366,,"Taylor County, WV",54091.0,2012.0,2012.0,179.0,16991.0,1053.5
368,,"Tucker County, WV",54093.0,2006.0,2006.0,78.0,7111.0,1096.9
369,,"Tucker County, WV",54093.0,2007.0,2007.0,87.0,7117.0,1222.4
370,,"Tucker County, WV",54093.0,2008.0,2008.0,83.0,7160.0,1159.2
371,,"Tucker County, WV",54093.0,2009.0,2009.0,107.0,7172.0,1491.9
372,,"Tucker County, WV",54093.0,2010.0,2010.0,94.0,7141.0,1316.3
373,,"Tucker County, WV",54093.0,2011.0,2011.0,91.0,7021.0,1296.1
