"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Nicholas County, WV"	"54067"	"2006"	"2006"	324	26205	1236.4
	"Nicholas County, WV"	"54067"	"2007"	"2007"	320	26130	1224.6
	"Nicholas County, WV"	"54067"	"2008"	"2008"	326	26138	1247.2
	"Nicholas County, WV"	"54067"	"2009"	"2009"	328	26253	1249.4
	"Nicholas County, WV"	"54067"	"2010"	"2010"	325	26233	1238.9
	"Nicholas County, WV"	"54067"	"2011"	"2011"	341	26268	1298.2
	"Nicholas County, WV"	"54067"	"2012"	"2012"	356	26229	1357.3
"Total"	"Nicholas County, WV"	"54067"			2320	183456	1264.6
	"Ohio County, WV"	"54069"	"2006"	"2006"	549	44925	1222.0
	"Ohio County, WV"	"54069"	"2007"	"2007"	611	44714	1366.5
	"Ohio County, WV"	"54069"	"2008"	"2008"	571	44469	1284.0
	"Ohio County, WV"	"54069"	"2009"	"2009"	609	44355	1373.0
	"Ohio County, WV"	"54069"	"2010"	"2010"	557	44443	1253.3
	"Ohio County, WV"	"54069"	"2011"	"2011"	580	44246	1310.9
	"Ohio County, WV"	"54069"	"2012"	"2012"	630	44075	1429.4
"Total"	"Ohio County, WV"	"54069"			4107	311227	1319.6
	"Pendleton County, WV"	"54071"	"2006"	"2006"	95	7922	1199.2
	"Pendleton County, WV"	"54071"	"2007"	"2007"	97	7792	1244.9
	"Pendleton County, WV"	"54071"	"2008"	"2008"	106	7761	1365.8
	"Pendleton County, WV"	"54071"	"2009"	"2009"	68	7701	883.0
	"Pendleton County, WV"	"54071"	"2010"	"2010"	94	7695	1221.6
	"Pendleton County, WV"	"54071"	"2011"	"2011"	104	7673	1355.4
	"Pendleton County, WV"	"54071"	"2012"	"2012"	103	7566	1361.4
"Total"	"Pendleton County, WV"	"54071"			667	54110	1232.7
	"Pleasants County, WV"	"54073"	"2006"	"2006"	68	7670	886.6
	"Pleasants County, WV"	"54073"	"2007"	"2007"	79	7698	1026.2
	"Pleasants County, WV"	"54073"	"2008"	"2008"	83	7702	1077.6
	"Pleasants County, WV"	"54073"	"2009"	"2009"	82	7672	1068.8
	"Pleasants County, WV"	"54073"	"2010"	"2010"	90	7605	1183.4
	"Pleasants County, WV"	"54073"	"2011"	"2011"	104	7611	1366.4
	"Pleasants County, WV"	"54073"	"2012"	"2012"	103	7595	1356.2
"Total"	"Pleasants County, WV"	"54073"			609	53553	1137.2
	"Pocahontas County, WV"	"54075"	"2006"	"2006"	123	8938	1376.1
	"Pocahontas County, WV"	"54075"	"2007"	"2007"	117	8851	1321.9
	"Pocahontas County, WV"	"54075"	"2008"	"2008"	107	8807	1214.9
	"Pocahontas County, WV"	"54075"	"2009"	"2009"	110	8746	1257.7
	"Pocahontas County, WV"	"54075"	"2010"	"2010"	115	8719	1319.0
	"Pocahontas County, WV"	"54075"	"2011"	"2011"	91	8786	1035.7
	"Pocahontas County, WV"	"54075"	"2012"	"2012"	107	8692	1231.0
"Total"	"Pocahontas County, WV"	"54075"			770	61539	1251.2
	"Preston County, WV"	"54077"	"2006"	"2006"	303	32238	939.9
	"Preston County, WV"	"54077"	"2007"	"2007"	329	32743	1004.8
	"Preston County, WV"	"54077"	"2008"	"2008"	340	33067	1028.2
	"Preston County, WV"	"54077"	"2009"	"2009"	311	33333	933.0
	"Preston County, WV"	"54077"	"2010"	"2010"	319	33520	951.7
	"Preston County, WV"	"54077"	"2011"	"2011"	336	33723	996.4
	"Preston County, WV"	"54077"	"2012"	"2012"	362	33832	1070.0
"Total"	"Preston County, WV"	"54077"			2300	232456	989.4
	"Putnam County, WV"	"54079"	"2006"	"2006"	453	54207	835.7
	"Putnam County, WV"	"54079"	"2007"	"2007"	472	54669	863.4
	"Putnam County, WV"	"54079"	"2008"	"2008"	535	55051	971.8
	"Putnam County, WV"	"54079"	"2009"	"2009"	504	55178	913.4
	"Putnam County, WV"	"54079"	"2010"	"2010"	504	55486	908.3
	"Putnam County, WV"	"54079"	"2011"	"2011"	510	56008	910.6
	"Putnam County, WV"	"54079"	"2012"	"2012"	582	56435	1031.3
"Total"	"Putnam County, WV"	"54079"			3560	387034	919.8
	"Raleigh County, WV"	"54081"	"2006"	"2006"	902	78178	1153.8
	"Raleigh County, WV"	"54081"	"2007"	"2007"	962	78323	1228.2
	"Raleigh County, WV"	"54081"	"2008"	"2008"	919	78379	1172.5
	"Raleigh County, WV"	"54081"	"2009"	"2009"	990	78782	1256.6
	"Raleigh County, WV"	"54081"	"2010"	"2010"	1012	78859	1283.3
	"Raleigh County, WV"	"54081"	"2011"	"2011"	986	79127	1246.1
	"Raleigh County, WV"	"54081"	"2012"	"2012"	1071	79021	1355.3
"Total"	"Raleigh County, WV"	"54081"			6842	550669	1242.5
	"Randolph County, WV"	"54083"	"2006"	"2006"	337	29049	1160.1
	"Randolph County, WV"	"54083"	"2007"	"2007"	307	29113	1054.5
	"Randolph County, WV"	"54083"	"2008"	"2008"	338	29236	1156.1
	"Randolph County, WV"	"54083"	"2009"	"2009"	352	29381	1198.1
	"Randolph County, WV"	"54083"	"2010"	"2010"	310	29405	1054.2
	"Randolph County, WV"	"54083"	"2011"	"2011"	362	29465	1228.6
	"Randolph County, WV"	"54083"	"2012"	"2012"	355	29384	1208.1
"Total"	"Randolph County, WV"	"54083"			2361	205033	1151.5
	"Ritchie County, WV"	"54085"	"2006"	"2006"	134	10588	1265.6
	"Ritchie County, WV"	"54085"	"2007"	"2007"	119	10558	1127.1
	"Ritchie County, WV"	"54085"	"2008"	"2008"	128	10516	1217.2
	"Ritchie County, WV"	"54085"	"2009"	"2009"	139	10478	1326.6
	"Ritchie County, WV"	"54085"	"2010"	"2010"	119	10449	1138.9
	"Ritchie County, WV"	"54085"	"2011"	"2011"	122	10295	1185.0
	"Ritchie County, WV"	"54085"	"2012"	"2012"	126	10236	1230.9
"Total"	"Ritchie County, WV"	"54085"			887	73120	1213.1
	"Roane County, WV"	"54087"	"2006"	"2006"	178	15442	1152.7
	"Roane County, WV"	"54087"	"2007"	"2007"	201	15215	1321.1
	"Roane County, WV"	"54087"	"2008"	"2008"	189	15048	1256.0
	"Roane County, WV"	"54087"	"2009"	"2009"	177	14966	1182.7
	"Roane County, WV"	"54087"	"2010"	"2010"	169	14926	1132.3
	"Roane County, WV"	"54087"	"2011"	"2011"	176	14858	1184.5
	"Roane County, WV"	"54087"	"2012"	"2012"	191	14684	1300.7
"Total"	"Roane County, WV"	"54087"			1281	105139	1218.4
	"Summers County, WV"	"54089"	"2006"	"2006"	146	13879	1051.9
